key	zh_CN	en
log.sharpen_ok	[color=green]磨刀：工具耐久 +1，精力 -8。[/color]	[color=green]Sharpened: durability +1, energy -8.[/color]
log.ritual_not_night	[color=gray]夜仪只在夜晚有效。[/color]	[color=gray]Night ritual works only at night.[/color]
log.ritual_need_cards	[color=red]需要手牌中有火堆与草药。[/color]	[color=red]Need campfire and herb in hand.[/color]
log.ritual_no_need	[color=gray]你尚不需要这场仪式。[/color]	[color=gray]You do not need the ritual yet.[/color]
log.ritual_cured	[color=magenta]夜仪：青烟升起，病痛稍退。[/color]	[color=magenta]Ritual: smoke rises, illness eases.[/color]
log.ritual_calm	[color=magenta]夜仪：心绪稍安。[/color]	[color=magenta]Ritual: calmer mind.[/color]
log.ritual_sanity	[color=magenta]夜仪：草药在火边安抚了你的神经。[/color]	[color=magenta]Ritual: herbs by the fire steady your nerves.[/color]
log.move_not_adjacent	[color=red]只能前往相邻区域。[/color]	[color=red]You can only move to adjacent areas.[/color]
log.move_no_energy	[color=red]精力不足，无法移动。[/color]	[color=red]Not enough energy to travel.[/color]
log.move_fmt	移动到 {0}。	Moved to {0}.
log.stage_locked	[color=red]尚未通过成就解锁该配方，无法暂存。[/color]	[color=red]Recipe not unlocked; cannot stage.[/color]
log.stage_fail	[color=red]无法暂存（材料不足或已有暂存）。[/color]	[color=red]Cannot stage (materials or slot).[/color]
log.stage_ok	[color=cyan]已暂存配方材料，点击「待合成」卡进行合成。[/color]	[color=cyan]Materials staged — tap the “pending combine” card.[/color]
log.combine_success_fmt	[color=green]合成成功：{0}。[/color]	[color=green]Crafted: {0}.[/color]
log.recipe_locked	[color=red]尚未解锁该配方。[/color]	[color=red]Recipe not unlocked.[/color]
log.not_enough_mats	[color=red]材料不足。[/color]	[color=red]Not enough materials.[/color]
log.build_no_mat	[color=red]缺少建造材料。[/color]	[color=red]Missing build material.[/color]
log.build_progress_fmt	建造 {0}: {1}/{2}	Building {0}: {1}/{2}
log.build_done_fmt	[color=green]{0} 完成。[/color]	[color=green]{0} complete.[/color]
log.pair_vanish_fmt	[color=green]{0}+{1} 被消除。[/color]	[color=green]{0}+{1} removed.[/color]
log.pair_success_fmt	[color=green]合成成功：{0}+{1}。[/color]	[color=green]Crafted: {0}+{1}.[/color]
log.multi_vanish_fmt	[color=green]{0} 被消除。[/color]	[color=green]{0} removed.[/color]
log.multi_success_fmt	[color=green]自由合成成功：{0}。[/color]	[color=green]Free combine: {0}.[/color]
log.scene_no_energy	[color=orange]精力不足。[/color]	[color=orange]Not enough energy.[/color]
log.scene_success_fmt	[color=green]获得了 {0}。[/color]	[color=green]Got {0}.[/color]
log.scene_fail_default	[color=yellow]什么也没有捞到。[/color]	[color=yellow]Nothing this time.[/color]
log.drop_fmt	放下了 {0}。	Dropped {0}.
log.pickup_fmt	拾取了 {0}。	Picked up {0}.
log.death	[color=red]你倒下了。[/color]	[color=red]You have fallen.[/color]
log.hand_overflow_fmt	[color=orange]手牌超过上限，丢弃 {0}。[/color]	[color=orange]Hand full, discarded {0}.[/color]
log.lucky_trace	[color=yellow]发现了一些痕迹，但没有可用物资。[/color]	[color=yellow]Traces, but nothing useful.[/color]
log.lucky_find_fmt	[color=yellow]幸运发现：{0}。[/color]	[color=yellow]Lucky find: {0}.[/color]
log.snake	[color=orange]被毒蛇咬伤，生命 -10。[/color]	[color=orange]Snake bite, health -10.[/color]
log.wolf_wall	[color=green]围墙挡住了野兽袭击。[/color]	[color=green]The wall stopped the beast.[/color]
log.wolf_repelled	[color=green]你赶走了野兽。[/color]	[color=green]You drove the beast away.[/color]
log.wolf_hit	[color=orange]野兽袭击，生命 -15，可能受伤。[/color]	[color=orange]Beast attack, health -15, may be injured.[/color]
log.storm_safe	[color=cyan]暴风雨来了，但庇护所保护了你。[/color]	[color=cyan]Storm — shelter protected you.[/color]
log.storm_cold	[color=cyan]暴风雨来袭，温度 -5，可能感冒。[/color]	[color=cyan]Storm — temp -5, risk of cold.[/color]
ui.combine_fail_fmt	[color=red]合成失败：{0}+{1}[/color]	[color=red]Combine failed: {0}+{1}[/color]
ui.combine_impossible	[color=red]这些物品无法合成[/color]	[color=red]These items cannot combine[/color]
ui.save_ok	[color=green]游戏已保存。[/color]	[color=green]Game saved.[/color]
ui.backup_ok	[color=green]已写入用户备份目录（不占用每日 10 份配额）。[/color]	[color=green]Backup written to user folder (no daily cap).[/color]
ui.map_suffix_current	（当前）	(current)
ui.map_suffix_adjacent	（可达）	(adjacent)
ui.map_suffix_far	（未连接）	(not connected)
